Review,Stars,Cleaned,VADER_Compound,VADER_Label,VADER_Pos,VADER_Neg,VADER_Neu,TB_Polarity,TB_Subjectivity,TB_Label
Absolutely love this product! Works perfectly and arrived fast.,5,absolutely love this product works perfectly and arrived fast,0.8655,Positive,0.554,0.0,0.446,0.5666666666666667,0.7333333333333334,Positive
Great quality for the price. Would definitely buy again.,5,great quality for the price would definitely buy again,0.7783,Positive,0.493,0.0,0.507,0.4,0.625,Positive
"Good product overall, though the packaging was a bit damaged.",4,good product overall though the packaging was a bit damaged,0.0,Neutral,0.21,0.21,0.58,0.35,0.30000000000000004,Positive
Decent item. Does what it says on the tin.,3,decent item does what it says on the tin,0.0,Neutral,0.0,0.0,1.0,0.16666666666666666,0.6666666666666666,Positive
"It's okay, nothing special. Expected better for this price.",3,it's okay nothing special expected better for this price,-0.4145,Negative,0.151,0.371,0.478,0.3142857142857143,0.4928571428571429,Positive
Not what I expected. Instructions were confusing and unclear.,2,not what i expected instructions were confusing and unclear,-0.4404,Negative,0.0,0.358,0.642,-0.2,0.4,Negative
Stopped working after two days. Very disappointing.,1,stopped working after two days very disappointing,-0.659,Negative,0.0,0.519,0.481,-0.78,0.9099999999999999,Negative
Terrible quality! Complete waste of money. Returning immediately.,1,terrible quality complete waste of money returning immediately,-0.7096,Negative,0.0,0.496,0.504,-0.3666666666666667,0.4666666666666666,Negative
Fantastic! Exceeded all expectations. Highly recommend to everyone.,5,fantastic exceeded all expectations highly recommend to everyone,0.7501,Positive,0.516,0.0,0.484,0.28,0.72,Positive
Product is fine but delivery took forever. Very frustrating experience.,2,product is fine but delivery took forever very frustrating experience,-0.598,Negative,0.102,0.313,0.584,-0.051666666666666666,0.75,Negative
Amazing build quality and great customer service. Five stars!,5,amazing build quality and great customer service five stars,0.836,Positive,0.53,0.0,0.47,0.7000000000000001,0.825,Positive
Average product. Nothing outstanding but it works as expected.,3,average product nothing outstanding but it works as expected,-0.2755,Negative,0.0,0.209,0.791,0.08333333333333333,0.5583333333333332,Positive
Broke after one week. Poor manufacturing and weak materials.,1,broke after one week poor manufacturing and weak materials,-0.8316,Negative,0.0,0.595,0.405,-0.3875,0.6125,Negative
Super happy with this purchase! Looks exactly like in the photos.,5,super happy with this purchase looks exactly like in the photos,0.8779,Positive,0.558,0.0,0.442,0.4611111111111111,0.6388888888888888,Positive
"Not bad, but I've seen better products at the same price point.",3,not bad but i've seen better products at the same price point,0.698,Positive,0.366,0.0,0.634,0.28333333333333327,0.4305555555555555,Positive
Perfect gift! My friend loved it. Very fast shipping too.,5,perfect gift my friend loved it very fast shipping too,0.9287,Positive,0.695,0.0,0.305,0.6533333333333333,0.86,Positive
"The colour is slightly off from what was shown, but otherwise fine.",3,the colour is slightly off from what was shown but otherwise fine,0.296,Positive,0.167,0.0,0.833,0.125,0.3333333333333333,Positive
Absolute rubbish. Don't buy this. Total scam.,1,absolute rubbish don't buy this total scam,-0.6115,Negative,0.0,0.4,0.6,0.1,0.825,Positive
Really satisfied. Solid construction and easy to use.,4,really satisfied solid construction and easy to use,0.7828,Positive,0.612,0.0,0.388,0.3111111111111111,0.6444444444444445,Positive
"It's okay for occasional use, not for heavy-duty applications.",3,it's okay for occasional use not for heavyduty applications,0.2263,Positive,0.192,0.0,0.808,0.25,0.3125,Positive
Wonderful product! Will be ordering more for gifts.,5,wonderful product will be ordering more for gifts,0.5719,Positive,0.346,0.0,0.654,0.75,0.75,Positive
Arrived broken. Customer support was unhelpful and rude.,1,arrived broken customer support was unhelpful and rude,-0.5267,Negative,0.196,0.442,0.362,-0.35,0.5,Negative
Good value. Performs well and looks nice on my desk.,4,good value performs well and looks nice on my desk,0.8481,Positive,0.63,0.0,0.37,0.6499999999999999,0.8,Positive
Mediocre at best. Feels cheap and flimsy.,2,mediocre at best feels cheap and flimsy,0.6369,Positive,0.412,0.0,0.588,0.3,0.6666666666666666,Positive
Outstanding! Best purchase I've made this year without doubt.,5,outstanding best purchase i've made this year without doubt,0.8836,Positive,0.632,0.0,0.368,0.75,0.5875,Positive
